Gender,Hour of Start Time,Weekday of Start Time,Count of Trips
Male,"April 20, 2019 at 11 PM",Saturday,65
Female,"April 20, 2019 at 11 PM",Saturday,7
Male,"April 20, 2019 at 10 PM",Saturday,75
Female,"April 20, 2019 at 10 PM",Saturday,22
Male,"April 20, 2019 at 9 PM",Saturday,100
Female,"April 20, 2019 at 9 PM",Saturday,36
Male,"April 20, 2019 at 8 PM",Saturday,137
Female,"April 20, 2019 at 8 PM",Saturday,50
Male,"April 20, 2019 at 7 PM",Saturday,191
Female,"April 20, 2019 at 7 PM",Saturday,65
Male,"April 20, 2019 at 6 PM",Saturday,270
Female,"April 20, 2019 at 6 PM",Saturday,130
Male,"April 20, 2019 at 5 PM",Saturday,341
Female,"April 20, 2019 at 5 PM",Saturday,127
Male,"April 20, 2019 at 4 PM",Saturday,360
Female,"April 20, 2019 at 4 PM",Saturday,154
Male,"April 20, 2019 at 3 PM",Saturday,351
Female,"April 20, 2019 at 3 PM",Saturday,169
Male,"April 20, 2019 at 2 PM",Saturday,362
Female,"April 20, 2019 at 2 PM",Saturday,170
Male,"April 20, 2019 at 1 PM",Saturday,348
Female,"April 20, 2019 at 1 PM",Saturday,143
Male,"April 20, 2019 at 12 PM",Saturday,339
Female,"April 20, 2019 at 12 PM",Saturday,130
Male,"April 20, 2019 at 11 AM",Saturday,293
Female,"April 20, 2019 at 11 AM",Saturday,112
Male,"April 20, 2019 at 10 AM",Saturday,275
Female,"April 20, 2019 at 10 AM",Saturday,121
Male,"April 20, 2019 at 9 AM",Saturday,188
Female,"April 20, 2019 at 9 AM",Saturday,86
Male,"April 20, 2019 at 8 AM",Saturday,126
Female,"April 20, 2019 at 8 AM",Saturday,58
Male,"April 20, 2019 at 7 AM",Saturday,57
Female,"April 20, 2019 at 7 AM",Saturday,26
Male,"April 20, 2019 at 6 AM",Saturday,31
Female,"April 20, 2019 at 6 AM",Saturday,12
Male,"April 20, 2019 at 5 AM",Saturday,18
Female,"April 20, 2019 at 5 AM",Saturday,6
Male,"April 20, 2019 at 4 AM",Saturday,2
Female,"April 20, 2019 at 4 AM",Saturday,1
Male,"April 20, 2019 at 3 AM",Saturday,7
Male,"April 20, 2019 at 2 AM",Saturday,20
Female,"April 20, 2019 at 2 AM",Saturday,2
Male,"April 20, 2019 at 1 AM",Saturday,22
Female,"April 20, 2019 at 1 AM",Saturday,1
Male,"April 20, 2019 at 12 AM",Saturday,39
Female,"April 20, 2019 at 12 AM",Saturday,5
Male,"April 13, 2019 at 11 PM",Saturday,54
Female,"April 13, 2019 at 11 PM",Saturday,16
Male,"April 13, 2019 at 10 PM",Saturday,67
Female,"April 13, 2019 at 10 PM",Saturday,13
Male,"April 13, 2019 at 9 PM",Saturday,73
Female,"April 13, 2019 at 9 PM",Saturday,36
Male,"April 13, 2019 at 8 PM",Saturday,122
Female,"April 13, 2019 at 8 PM",Saturday,38
Male,"April 13, 2019 at 7 PM",Saturday,224
Female,"April 13, 2019 at 7 PM",Saturday,69
Male,"April 13, 2019 at 6 PM",Saturday,324
